gtype	start	end	strand	function	CCNA	CC	geneName	rpkM
CDS	202	1107	+	ATP/GTP-binding protein	CCNA_00001	CC_0001		111.428754165
CDS	1104	1703	+	septum formation protein Maf	CCNA_00002	CC_0002		133.551013762
CDS	1700	2557	+	shikimate 5-dehydrogenase	CCNA_00003	CC_0003		59.6695689265
CDS	2559	3158	+	dephospho-CoA kinase	CCNA_00004	CC_0004		93.716379021
CDS	3190	3903	+	DNA polymerase III, epsilon chain	CCNA_00005	CC_0005	dnaQ	179.914742065
CDS	4022	4810	+	enoyl-CoA hydratase	CCNA_00006	CC_0006		188.23417348
CDS	4960	5235	+	SSU ribosomal protein S20P	CCNA_00007	CC_0007		1668.78142696
CDS	5636	7108	+	chromosome replication initiator protein DnaA	CCNA_00008	CC_0008	dnaA	1282.09443623
CDS	8165	10060	+	chaperone protein DnaK	CCNA_00010	CC_0010	dnaK	921.463602238
CDS	10223	11380	+	chaperone protein DnaJ	CCNA_00011	CC_0011	dnaJ	197.288087428
CDS	11467	14178	+	DNA mismatch repair protein MutS	CCNA_00012	CC_0012	mutS	63.5467563368
CDS	14199	17021	+	protein-PII uridylyltransferase	CCNA_00013	CC_0013		113.138427459
CDS	19815	20447	+	molybdopterin-guanine dinucleotide biosynthesis protein A	CCNA_00019	CC_0019		17.7020281551
CDS	23742	24074	+	putative periplasmic protein	CCNA_00023	CC_0023		31.2579370156
CDS	24091	24981	+	uroporphyrin-III C-methyltransferase/Precorrin-2 dehydrogenase/Sirohydrochlorin ferrochelatase	CCNA_00024	CC_0024		40.8522183271
CDS	32914	33546	+	lysine exporter protein	CCNA_00029	CC_0029		64.2918525266
CDS	33595	34329	+	ribonuclease T2	CCNA_00030	CC_0030		36.156368097
CDS	49105	49638	+	inorganic pyrophosphatase	CCNA_00045	CC_0047		1224.64670838
CDS	61885	63153	+	cytochrome p450	CCNA_00061	CC_0063		11.230919487
CDS	71977	72945	+	porphobilinogen deaminase	CCNA_00070	CC_0072		37.0043634995
CDS	72950	73636	+	uroporphyrinogen-III synthase	CCNA_00071	CC_0073		11.2499073584
CDS	73680	74576	+	hypothetical protein	CCNA_00072	CC_0074		100.841364308
CDS	74573	76108	+	HemY domain membrane protein	CCNA_00073	CC_0075		68.4188527615
tRNA	76150	76225	+	tRNA-Thr	CCNA_R0001	CC_t01		247.618261277
CDS	84087	84728	+	LexA-related transcriptional repressor	CCNA_00080	CC_0082		52.1540471239
CDS	89053	90642	+	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	CCNA_00084	CC_0086	purH	60.4229799408
CDS	90655	91413	+	dienelactone hydrolase-related protein	CCNA_00085	CC_0087		78.2617235653
CDS	97841	99385	+	HerA helicase-related ATPase	CCNA_00088	CC_0090		113.033929521
CDS	107402	108280	+	L-asparaginase	CCNA_00096	CC_0097		32.8860771094
CDS	108334	108792	+	hypothetical protein	CCNA_00097	CC_0098		10.3852523913
CDS	113151	113375	+	hypothetical protein	CCNA_00102	CC_0103		29.6387449567
CDS	113463	115160	+	gamma-glutamyltranspeptidase	CCNA_00103	CC_0104		44.1091820754
CDS	116088	116786	+	MarC family integral membrane protein	CCNA_00105	CC_0106		65.0365450856
CDS	116834	118099	+	2-polyprenyl-6-methoxyphenol hydroxylase	CCNA_00106	CC_0107		35.8155088566
CDS	120752	121498	+	hypothetical protein	CCNA_00111	CC_0112		156.72699005
CDS	121503	121892	+	glyoxalase family protein	CCNA_00112	CC_0113		56.8112183251
CDS	121972	122544	+	hypothetical protein	CCNA_00113	CC_0114		35.0891671127
CDS	122547	122852	+	MarR/EmrR-family transcriptional regulator	CCNA_00114	CC_0115		57.1452801531
CDS	122939	126268	+	TolB protein	CCNA_00115	CC_0116		87.1211543907
CDS	127915	129735	+	glucosamine-fructose-6-phosphate aminotransferase, isomerizing	CCNA_00117	CC_0118		118.461713887
