Gene1	Gene2	SysName1	SysName2	Name1	Name2	bOp	pOp	Sep	MOGScore	GOScore	COGSim	ExprSim
5847217	5847218	CCNA_00001	CCNA_00002			TRUE	0.928	-3.000	0.135	NA		NA
5847218	5847219	CCNA_00002	CCNA_00003			TRUE	0.946	-3.000	0.169	NA	N	NA
5847219	5847220	CCNA_00003	CCNA_00004			TRUE	0.916	2.000	0.078	1.000	N	NA
5847220	5847221	CCNA_00004	CCNA_00005		dnaQ	TRUE	0.660	32.000	0.092	1.000	N	NA
5847221	5847222	CCNA_00005	CCNA_00006	dnaQ		FALSE	0.172	119.000	0.000	1.000	N	NA
5847222	5847223	CCNA_00006	CCNA_00007			FALSE	0.237	135.000	0.016	1.000	N	NA
5847223	5847224	CCNA_00007	CCNA_00008		dnaA	FALSE	0.003	401.000	0.000	1.000	N	NA
5847226	5847227	CCNA_00010	CCNA_00011	dnaK	dnaJ	TRUE	0.798	163.000	0.236	0.003	Y	NA
5847227	5847228	CCNA_00011	CCNA_00012	dnaJ	mutS	FALSE	0.171	87.000	0.003	1.000	N	NA
5847228	5847229	CCNA_00012	CCNA_00013	mutS		TRUE	0.564	21.000	0.021	1.000	N	NA
5847230	5847231	CCNA_00014	CCNA_00015	moaC	moaB	TRUE	0.989	-3.000	0.109	0.003	Y	NA
5847231	5847232	CCNA_00015	CCNA_00016	moaB	moaE	TRUE	0.977	1.000	0.018	0.003	Y	NA
5847232	5847233	CCNA_00016	CCNA_00017	moaE	moaD	TRUE	0.995	-3.000	0.501	0.003	Y	NA
5847233	5847234	CCNA_00017	CCNA_00018	moaD	moaA	TRUE	0.970	4.000	0.010	0.003	Y	NA
5847236	5847237	CCNA_00020	CCNA_00021			FALSE	0.199	172.000	0.100	NA		NA
5847237	5847238	CCNA_00021	CCNA_00022			TRUE	0.990	-3.000	0.150	0.002	Y	NA
5847239	5847240	CCNA_00023	CCNA_00024			FALSE	0.232	17.000	0.000	NA		NA
5847241	5847242	CCNA_00025	CCNA_00026			TRUE	0.706	58.000	0.400	1.000	N	NA
5847242	5847243	CCNA_00026	CCNA_00027			FALSE	0.433	99.000	0.073	1.000		NA
5847243	5847244	CCNA_00027	CCNA_00028			FALSE	0.454	146.000	0.163	1.000		NA
5847245	5847246	CCNA_00029	CCNA_00030			FALSE	0.302	49.000	0.018	1.000	N	NA
5847247	5847248	CCNA_00031	CCNA_00032	vapC	vapB	TRUE	0.977	1.000	0.750	NA		NA
5847248	5847249	CCNA_00032	CCNA_00033	vapB		FALSE	0.001	883.000	0.000	NA		NA
5847249	5847250	CCNA_00033	CCNA_00034			FALSE	0.330	249.000	0.335	1.000	Y	NA
5847250	5847251	CCNA_00034	CCNA_00035			TRUE	0.967	15.000	0.211	1.000	Y	NA
5847251	5847252	CCNA_00035	CCNA_00036			TRUE	0.989	3.000	0.318	1.000	Y	NA
5847252	5847253	CCNA_00036	CCNA_00037			FALSE	0.207	101.000	0.004	1.000	N	NA
5847253	5847254	CCNA_00037	CCNA_00038			FALSE	0.433	60.000	0.105	NA		NA
5847254	5847255	CCNA_00038	CCNA_00039			TRUE	0.978	0.000	0.750	NA		NA
5847255	5847256	CCNA_00039	CCNA_00040			FALSE	0.101	39.000	0.000	NA		NA
5847256	5847257	CCNA_00040	CCNA_00041			FALSE	0.067	56.000	0.000	NA		NA
5847257	5847258	CCNA_00041	CCNA_00042			FALSE	0.211	195.000	0.223	NA	N	NA
5847258	5847259	CCNA_00042	CCNA_00043			TRUE	0.756	79.000	0.075	NA	Y	NA
5847259	5847260	CCNA_00043	CCNA_00044			TRUE	0.975	3.000	0.759	NA		NA
5847262	5847263	CCNA_00046	CCNA_00047			FALSE	0.074	101.000	0.000	NA		NA
5847263	5847264	CCNA_00047	CCNA_00048		metK	FALSE	0.487	90.000	0.112	1.000		NA
5847264	5847265	CCNA_00048	CCNA_00049	metK	hipB	FALSE	0.335	120.000	0.028	1.000	N	NA
5847265	5847266	CCNA_00049	CCNA_00050	hipB		TRUE	0.552	28.000	0.037	1.000	N	NA
5847266	5847267	CCNA_00050	CCNA_00051		corC	TRUE	0.946	-3.000	0.213	NA		NA
5847267	5847268	CCNA_00051	CCNA_00052	corC		TRUE	0.918	9.000	0.222	NA		NA
5847268	5847269	CCNA_00052	CCNA_00053		phoH	TRUE	0.880	20.000	0.457	NA		NA
5847269	5847270	CCNA_00053	CCNA_00054	phoH		TRUE	0.958	-3.000	0.220	1.000	N	NA
5847270	5847271	CCNA_00054	CCNA_00055			FALSE	0.054	190.000	0.010	1.000	N	NA
5847271	5847272	CCNA_00055	CCNA_00056			FALSE	0.437	46.000	0.061	1.000		NA
5847272	5847273	CCNA_00056	CCNA_00057			TRUE	0.922	9.000	0.209	1.000		NA
5847273	5847274	CCNA_00057	CCNA_00058			TRUE	0.514	4.000	0.003	NA		NA
5847274	5847275	CCNA_00058	CCNA_00059			FALSE	0.323	148.000	0.091	NA		NA
5847275	5847276	CCNA_00059	CCNA_00060			FALSE	0.217	70.000	0.011	1.000	N	NA
5847278	5847279	CCNA_00062	CCNA_00063	trpS	mviN	FALSE	0.216	168.000	0.078	1.000		NA
5847279	5847280	CCNA_00063	CCNA_00064	mviN		FALSE	0.009	240.000	0.000	1.000		NA
5847280	5847281	CCNA_00064	CCNA_00065			FALSE	0.031	162.000	0.000	NA		NA
5847281	5847282	CCNA_00065	CCNA_00066			FALSE	0.065	58.000	0.000	NA		NA
5847282	5847283	CCNA_00066	CCNA_00067			TRUE	0.819	5.000	0.049	NA		NA
5847283	5847284	CCNA_00067	CCNA_00068		gpsA	TRUE	0.880	20.000	0.456	NA		NA
5847284	5847285	CCNA_00068	CCNA_00069	gpsA		TRUE	0.918	-3.000	0.070	1.000	N	NA
5847286	5847287	CCNA_00070	CCNA_00071			TRUE	0.980	5.000	0.056	0.002	Y	NA
5847287	5847288	CCNA_00071	CCNA_00072			TRUE	0.796	26.000	0.263	NA		NA
5847288	5847289	CCNA_00072	CCNA_00073			TRUE	0.965	-3.000	0.408	NA		NA
5847289	5847290	CCNA_00073	CCNA_R0001			FALSE	0.094	42.000	0.000	NA		NA
5847291	5847292	CCNA_00074	CCNA_00075			TRUE	0.967	25.000	0.562	1.000	Y	NA
5847292	5847293	CCNA_00075	CCNA_00076			FALSE	0.191	67.000	0.022	NA		NA
5847293	5847294	CCNA_00076	CCNA_00077			TRUE	0.924	-3.000	0.118	NA		NA
5847294	5847295	CCNA_00077	CCNA_00078			TRUE	0.986	3.000	0.103	0.008	Y	NA
5847295	5847296	CCNA_00078	CCNA_00079			FALSE	0.372	88.000	0.046	1.000	N	NA
5847298	5847299	CCNA_00081	CCNA_00082		lysS	FALSE	0.004	250.000	0.000	NA		NA
5847299	5847300	CCNA_00082	CCNA_00083	lysS		FALSE	0.096	163.000	0.005	1.000	N	NA
5847301	5847302	CCNA_00084	CCNA_00085	purH		TRUE	0.592	13.000	0.004	1.000	N	NA
5847307	5847308	CCNA_00089	CCNA_00090			FALSE	0.147	65.000	0.000	1.000	N	NA
5847308	5847309	CCNA_00090	CCNA_00091			FALSE	0.017	206.000	0.000	NA	N	NA
5847309	5847310	CCNA_00091	CCNA_00092			TRUE	0.912	-3.000	0.077	NA	N	NA
5847310	5847311	CCNA_00092	CCNA_00093			FALSE	0.072	99.000	0.000	NA		NA
5847311	5847312	CCNA_00093	CCNA_00094			FALSE	0.060	73.000	0.000	NA		NA
5847312	5847313	CCNA_00094	CCNA_00095			FALSE	0.308	104.000	0.019	1.000	N	NA
5847314	5847315	CCNA_00096	CCNA_00097			FALSE	0.069	54.000	0.000	NA		NA
5847316	5847317	CCNA_00098	CCNA_00099			TRUE	0.695	6.000	0.020	NA		NA
5847317	5847318	CCNA_00099	CCNA_00100			TRUE	0.754	10.000	0.042	NA		NA
5847318	5847319	CCNA_00100	CCNA_00101		rsmB	FALSE	0.264	86.000	0.018	1.000	N	NA
5847320	5847321	CCNA_00102	CCNA_00103			FALSE	0.065	88.000	0.000	NA		NA
5847323	5847324	CCNA_00105	CCNA_00106			FALSE	0.205	48.000	0.008	NA	N	NA
5847325	5847326	CCNA_00107	CCNA_00108			TRUE	0.889	10.000	0.148	NA		NA
5847326	5847327	CCNA_00108	CCNA_00109			TRUE	0.868	16.000	0.222	1.000		NA
5847327	5847328	CCNA_00109	CCNA_00110			TRUE	0.618	110.000	0.245	NA		NA
5847329	5847330	CCNA_00111	CCNA_00112			FALSE	0.420	5.000	0.000	NA		NA
5847330	5847331	CCNA_00112	CCNA_00113			FALSE	0.062	80.000	0.000	NA		NA
5847331	5847332	CCNA_00113	CCNA_00114			TRUE	0.949	3.000	0.286	NA		NA
5847332	5847333	CCNA_00114	CCNA_00115			FALSE	0.096	69.000	0.000	1.000		NA
5847335	5847336	CCNA_00117	CCNA_00118			TRUE	0.577	11.000	0.000	1.000	N	NA
